,literacy,pop_age,spendeduc,gender_unequal,dem_score14,effectiveness,hdi,confidence
0,28.1,16.9,,0.797,2.77,13.7115842625323,0.349,
1,,30.0,2.9,0.545,5.67,35.4609929359833,0.7190000000000001,49.3359260575013
2,69.9,26.2,4.3,0.594,3.83,32.6241140951783,0.677,52.055735452850506
3,67.4,17.4,2.6,,3.35,19.148936959305,0.40299999999999997,
4,97.2,30.4,4.9,0.534,6.84,34.9881794435758,0.775,7.299325399833241
5,99.4,32.0,3.0,0.57,4.13,36.6430263147287,0.695,27.1327351098071
6,99.0,37.8,4.7,0.29600000000000004,9.01,90.0709227749078,0.937,46.8388856972569
7,98.0,41.8,5.4,0.3,8.54,88.88888798706921,0.851,49.6801896497742
8,98.8,28.4,1.9,0.5529999999999999,2.83,23.8770690651932,0.713,54.1684853775642
9,86.5,28.1,2.9,0.512,2.87,65.01181965460451,0.8009999999999999,
10,47.9,24.5,2.4,0.7340000000000001,5.78,34.042553867854096,0.469,71.644389365908
11,99.6,38.2,5.2,,3.69,22.222222898587,0.732,15.6457051836036
12,99.0,41.3,6.1,0.23600000000000002,7.93,90.3073291688382,0.867,43.3151621546706
13,34.7,18.4,3.6,0.759,5.65,31.9148935042938,0.435,
14,47.0,24.2,5.1,,4.87,68.5579197908406,,
15,86.7,21.9,6.3,0.672,5.79,34.042553867854096,0.643,
16,96.7,39.3,,,4.78,25.295508837869,0.71,70.2041362096631
17,81.2,22.8,8.1,0.6629999999999999,7.87,67.1394800181648,0.633,
18,88.6,29.0,5.2,0.631,7.38,41.3711584206169,0.6990000000000001,32.5013371367446
19,98.2,41.7,4.1,0.39899999999999997,6.73,45.153664334305105,0.743,38.9760060457207
20,21.8,16.7,4.6,,4.09,30.260047337687602,0.305,
21,89.9,27.9,1.3,,3.05,,0.451,
22,59.3,20.3,7.2,0.627,3.33,12.0567366868328,0.282,
23,73.6,22.3,1.6,0.672,4.78,33.3333332769696,0.494,
24,67.9,19.2,2.9,0.763,3.41,31.9148935042938,0.46,
25,99.0,39.9,4.9,0.289,9.08,91.0165483506295,0.888,58.2038713759922
26,76.6,21.3,5.7,,7.81,41.843971560751,0.534,
27,48.6,19.5,1.3,0.768,1.49,12.7659586868106,0.315,
28,25.7,17.1,1.9,,1.5,28.841607565011802,0.295,
29,95.7,32.1,3.4,0.505,7.8,74.7044930784978,0.7829999999999999,58.368495077355796
30,91.6,34.2,1.9,0.405,3.0,50.827423336939894,0.6629999999999999,73.78881440955159
31,90.4,26.8,3.9,0.6579999999999999,6.55,37.3522462010665,0.6890000000000001,
32,56.5,21.1,7.6,,3.52,26.7139486105448,0.428,
33,67.2,16.6,,0.8140000000000001,1.75,,0.239,
34,83.8,19.5,1.8,0.7440000000000001,2.89,,0.489,
35,94.9,28.2,5.0,0.501,8.03,55.31914904889771,0.725,
36,48.7,19.5,4.6,0.765,3.53,25.5319152317994,0.397,
37,98.1,41.6,3.9,0.345,6.93,51.063829730870296,0.767,44.17546520445661
38,99.8,38.3,13.6,0.473,3.52,40.4255321403485,,
39,97.6,36.5,7.1,0.284,7.4,70.21276595744679,0.81,
40,,39.6,4.6,0.33,7.94,63.1205670940679,0.841,35.172867781175796
41,99.0,40.8,7.9,0.209,9.11,93.6170215020507,0.866,63.1370171050304
42,67.9,21.5,8.7,,2.99,25.7683216257298,0.402,
43,87.0,25.0,2.2,0.6459999999999999,6.67,,0.6629999999999999,
44,91.0,25.4,1.0,0.645,5.87,23.8770690651932,0.695,
45,71.4,23.9,3.8,0.7140000000000001,3.16,39.0070923676728,0.62,59.2276646486883
46,81.1,23.9,3.6,0.653,6.53,34.042553867854096,0.659,41.978816843192895
47,87.0,19.3,0.6,,1.66,14.1843970503931,0.5379999999999999,
48,58.6,19.1,2.0,,2.44,36.170212822321204,,
49,99.8,39.6,5.0,0.409,7.74,65.01181965460451,0.812,39.1823075803871
50,42.7,18.0,5.5,,3.72,25.5319152317994,0.32799999999999996,
51,93.7,25.0,6.2,,5.61,47.990543703520004,0.669,
52,100.0,42.0,5.9,0.248,9.03,94.0898342899115,0.871,46.875924455447205
53,99.0,40.1,5.6,0.26,8.04,86.05200844171759,0.872,55.1165089139773
54,63.2,21.6,3.8,0.6779999999999999,3.76,35.933806428390795,0.648,
55,40.1,18.8,2.0,0.742,3.05,,0.39,
56,100.0,37.6,2.9,0.597,5.82,28.368794777151,0.698,38.6279027283386
57,99.0,44.3,4.4,0.24,8.64,88.1796688052779,0.885,52.72892711051
58,57.9,20.6,5.4,0.7290000000000001,6.33,46.8085106330138,0.467,
59,96.0,41.6,4.0,0.317,7.45,65.2482274576282,0.855,
60,69.1,18.8,3.2,0.713,5.81,32.1512998982242,0.56,
61,29.5,18.5,1.7,,3.01,28.1323883832206,0.34,
62,42.4,18.7,5.2,,1.93,14.657209838253902,0.289,
63,,27.4,6.1,0.667,5.91,39.0070923676728,0.611,
64,52.9,21.6,,0.7390000000000001,3.82,9.692672747528581,0.40399999999999997,
65,80.0,20.9,,0.68,5.84,29.314420352872702,0.604,
66,,41.9,3.3,,6.46,,0.862,
67,99.4,39.8,5.4,0.382,6.9,65.01181965460451,0.805,45.5432489451476
68,99.0,35.1,7.5,0.27899999999999997,9.58,93.3806151081203,0.8690000000000001,63.628567700080296
69,61.0,25.0,3.2,0.748,7.92,43.498818079630496,0.519,62.20531634981379
70,90.4,28.2,3.5,0.68,6.95,33.3333332769696,0.6,50.5313847672805
71,77.0,26.8,4.8,0.674,1.98,35.6973993299137,0.7020000000000001,57.685352622061394
72,74.1,19.3,,0.7509999999999999,4.23,7.80141877789869,,
73,99.0,34.6,4.9,0.344,8.72,84.8699764720655,0.895,68.4976423462822
74,97.1,29.7,6.4,0.332,7.63,70.6855787453076,0.872,
75,98.4,43.3,4.3,0.251,7.85,68.0851070029798,0.8540000000000001,37.016569927962706
76,,26.3,6.2,0.638,7.39,44.9172576761697,0.688,
77,99.0,44.7,3.4,0.273,8.08,71.8676135331463,0.884,37.0337595492456
78,89.9,22.8,4.9,0.616,3.76,55.0827426549673,0.6809999999999999,73.62869198312241
79,99.5,29.4,2.8,0.575,3.17,27.6595741862665,0.7140000000000001,
80,85.1,18.4,7.0,0.738,5.13,26.4775408075211,0.47,
81,99.0,34.0,,,1.08,,,
82,97.9,37.9,4.2,0.31,8.06,,0.877,
83,93.3,30.6,3.8,0.451,3.78,50.3546098445324,0.7709999999999999,
84,98.7,25.1,6.6,0.56,5.24,27.423167792336002,0.598,
85,73.0,20.6,2.3,0.65,2.21,27.6595741862665,0.49700000000000005,
86,99.7,40.0,5.0,0.316,7.48,62.411347912276604,0.769,39.2200662841458
87,87.4,29.2,2.0,,5.12,36.8794327086591,,
88,84.8,19.8,12.4,0.685,6.66,40.4255321403485,0.42700000000000005,
89,57.5,18.5,2.7,0.7659999999999999,4.95,10.8747047171807,0.3,
90,82.6,26.2,2.7,0.504,3.8,26.004728019660202,0.755,
91,99.6,39.8,4.7,0.359,7.54,60.9929081396008,0.7829999999999999,48.126085877388896
92,100.0,39.3,3.7,0.318,8.88,96.92671665344959,0.852,
93,96.1,36.0,3.5,,6.25,37.3522462010665,0.701,12.330051570557899
94,68.9,18.4,2.9,,4.42,37.588652594997,0.435,
95,62.7,16.8,4.2,0.758,5.66,30.496453731618,0.385,
96,88.7,26.3,4.5,0.493,6.49,68.3215133969102,0.7440000000000001,
97,46.4,17.6,3.8,0.799,5.79,26.7139486105448,0.309,
98,,39.0,4.8,0.395,8.39,73.99527107852009,0.815,
99,51.2,20.1,4.4,0.738,4.17,42.789598193292605,0.433,
100,84.4,32.6,3.6,0.466,8.17,59.10165416997089,0.701,
101,86.1,27.6,4.8,0.5760000000000001,6.68,50.118203450601996,0.75,26.040387790525397
102,99.1,35.2,8.2,0.429,6.32,31.6784871103634,0.623,42.191708979952004
103,97.8,26.3,5.1,0.523,6.62,42.31678470088521,0.622,
104,,35.9,,,5.94,,0.769,
105,52.3,26.2,5.7,0.693,4.0,48.2269503616554,0.5670000000000001,
106,47.8,17.9,5.0,0.718,4.66,36.8794327086591,0.284,
107,85.0,21.1,6.5,0.615,6.24,50.827423336939894,0.606,
108,48.6,21.6,3.8,0.716,4.77,34.515366655715,0.428,
109,99.0,40.8,5.5,0.174,8.92,97.16312304738001,0.89,58.481012658227904
